consumer_id,product_id,purchased_size,fit_outcome,transaction_date
c_9,a_637,2XL,fit,2021-11-23
c_9,a_672,2XL,fit,2021-12-01
c_9,a_174,XL,too small,2022-01-19
c_9,a_589,XL,too small,2022-03-06
c_9,a_476,14.5,fit,2022-03-31
c_10,a_971,L,fit,2021-11-24
c_10,a_637,M,too small,2022-01-20
c_10,a_844,L,fit,2022-01-31
c_11,a_772,7.5,too small,2021-09-03
c_11,a_999,S,too small,2021-09-12
c_11,a_602,XS,too small,2021-12-10
c_11,a_273,XS,too small,2022-02-02
c_11,a_635,XS,too small,2022-04-29
c_12,a_173,L,too small,2021-06-10
c_12,a_283,XL,too large,2021-07-18
c_12,a_615,L,fit,2021-09-12
c_12,a_675,L,too large,2021-11-13
c_12,a_713,L,fit,2022-01-19
c_12,a_99,2XL,too large,2022-03-23
c_13,a_998,L,too large,2021-05-27
c_13,a_997,10.5,too large,2021-06-20
c_13,a_896,M,fit,2021-08-01
c_13,a_956,M,too large,2021-08-10
c_14,a_364,S,too small,2021-11-08
c_14,a_555,10.5,too small,2022-01-07
c_14,a_11,M,too large,2022-03-01
c_14,a_247,S,too small,2022-04-24
c_14,a_270,M,too small,2022-06-26
c_15,a_103,M,fit,2021-03-31
c_15,a_524,S,too small,2021-04-13
c_15,a_338,M,fit,2021-07-06
c_15,a_995,M,too large,2021-08-03
c_15,a_335,M,not applicable,2021-08-04
c_15,a_604,M,too small,2021-08-06
c_15,a_638,M,too large,2021-08-09
c_16,a_464,XL,too small,2021-06-02
c_17,a_456,XS,too small,2021-11-10
c_17,a_330,M,too large,2021-11-22
c_17,a_571,S,too small,2022-01-25
c_17,a_227,2XS,too small,2022-03-22
c_17,a_60,S,too large,2022-03-25
c_17,a_805,M,too large,2022-04-04
c_17,a_647,8.0,too large,2022-05-30
c_18,a_897,11.0,not applicable,2021-12-08
c_18,a_897,10.0,too small,2021-12-12
c_18,a_374,10.5,fit,2021-12-22
c_19,a_430,L,too large,2021-02-03
c_19,a_669,M,not applicable,2021-04-29
c_19,a_594,M,not applicable,2021-07-02
c_19,a_100,M,too large,2021-08-15
c_19,a_358,S,too small,2021-11-06
c_20,a_682,XL,too large,2021-04-13
c_20,a_541,XL,too small,2021-06-30
c_20,a_519,XL,too large,2021-08-09
c_20,a_571,XL,too small,2021-08-20
c_21,a_418,L,fit,2021-06-24
c_21,a_813,L,fit,2021-07-22
c_21,a_839,L,too small,2021-08-28
c_21,a_819,L,too small,2021-10-19
c_21,a_973,L,fit,2022-01-08
c_21,a_455,11.5,too large,2022-03-14
c_21,a_86,L,too small,2022-04-05
c_22,a_812,L,fit,2022-03-02
c_22,a_186,L,not applicable,2022-05-09
c_22,a_74,L,too small,2022-05-20
c_22,a_446,12.0,not applicable,2022-06-20
c_23,a_709,L,too large,2021-10-26
c_23,a_811,M,fit,2021-12-23
c_23,a_898,M,not applicable,2022-03-04
c_23,a_71,9.5,fit,2022-05-16
c_23,a_50,M,fit,2022-07-13
c_23,a_669,M,fit,2022-08-11
c_23,a_87,9.5,fit,2022-11-05
c_23,a_66,10.0,not applicable,2022-12-05
c_23,a_620,M,too large,2023-01-28
c_23,a_656,L,too large,2023-02-03
c_24,a_352,XS,too small,2021-11-04
c_24,a_340,XS,too small,2022-01-28
c_24,a_76,M,too small,2022-03-27
c_25,a_44,S,too small,2022-02-01
c_25,a_343,S,too small,2022-04-01
c_25,a_558,S,too large,2022-05-27
c_25,a_861,S,too small,2022-07-05
c_25,a_231,S,too small,2022-09-09
c_25,a_861,S,too small,2022-10-06
c_25,a_546,S,too large,2022-10-22
c_25,a_793,S,too large,2022-10-26
c_26,a_844,M,fit,2021-02-08
c_26,a_934,M,too large,2021-04-07
c_26,a_626,M,too small,2021-04-09
c_26,a_657,M,not applicable,2021-05-09
c_26,a_568,S,too small,2021-05-12
c_27,a_393,15.0,too large,2021-11-04
c_27,a_261,2XL,too large,2021-12-06
c_27,a_745,2XL,too large,2022-01-23
c_27,a_889,15.0,not applicable,2022-04-02
c_27,a_907,2XL,not applicable,2022-05-30
c_27,a_908,XL,too small,2022-06-22
c_28,a_288,L,too large,2021-08-04
c_28,a_414,11.5,too small,2021-08-16
c_28,a_660,12.0,too small,2021-08-23
c_28,a_832,L,too large,2021-10-02
c_28,a_554,XL,too large,2021-11-27
c_28,a_774,L,not applicable,2022-02-17
c_28,a_623,L,too large,2022-02-22
c_28,a_588,L,too large,2022-04-24
c_29,a_990,2XL,too large,2021-05-19
c_30,a_1000,S,too small,2021-07-02
c_30,a_200,S,too large,2021-07-12
c_30,a_766,S,too large,2021-08-25
c_31,a_420,S,too large,2021-12-21
c_31,a_683,XS,too small,2022-01-12
c_31,a_849,S,too large,2022-02-04
c_32,a_121,S,fit,2021-05-03
c_32,a_152,S,not applicable,2021-07-17
c_32,a_127,S,too large,2021-08-24
c_32,a_227,S,too small,2021-11-10
c_32,a_19,S,too small,2022-01-13
c_33,a_676,S,too small,2021-08-05
c_33,a_901,S,not applicable,2021-09-25
c_33,a_524,XS,too small,2021-10-17
c_33,a_418,M,too large,2022-01-11
c_33,a_137,XS,too small,2022-02-09
c_33,a_680,S,not applicable,2022-03-07
c_34,a_731,S,too small,2021-09-15
c_34,a_668,M,too small,2021-10-29
c_34,a_956,M,too large,2021-11-01
c_34,a_704,M,too small,2022-01-02
c_34,a_650,M,fit,2022-03-31
c_35,a_335,XL,fit,2021-06-19
c_35,a_965,XL,fit,2021-08-21
c_35,a_615,XL,fit,2021-09-27
c_35,a_581,2XL,too large,2021-12-15
c_35,a_524,XL,fit,2022-02-05
c_35,a_818,L,too small,2022-03-02
c_36,a_517,L,too large,2022-01-06
c_36,a_569,S,too small,2022-01-17
c_36,a_792,M,fit,2022-01-28
c_36,a_506,S,too small,2022-02-21
c_36,a_558,L,too large,2022-04-08
c_37,a_323,L,too small,2021-11-09
c_37,a_412,M,not applicable,2022-01-16
c_38,a_761,L,too small,2021-08-29
c_38,a_650,L,too large,2021-11-09
c_38,a_121,L,not applicable,2021-12-24
c_38,a_161,XL,too large,2022-02-15
c_38,a_397,XL,too small,2022-02-27
c_39,a_361,L,fit,2021-03-21
c_39,a_167,11.5,too small,2021-04-25
c_39,a_45,XL,too large,2021-05-15
c_39,a_565,L,fit,2021-06-22
c_40,a_119,M,too large,2021-04-04
c_41,a_266,M,fit,2021-02-21
c_41,a_203,M,too small,2021-03-17
c_41,a_233,S,too small,2021-05-25
c_41,a_465,M,too large,2021-08-02
c_41,a_285,L,too large,2021-08-03
c_42,a_334,9.0,too large,2021-02-27
c_42,a_773,8.5,too small,2021-03-16
c_42,a_932,M,too small,2021-05-28
c_42,a_238,M,too small,2021-08-03
c_42,a_286,M,too small,2021-09-08
c_42,a_893,M,too small,2021-11-25
c_42,a_278,M,too small,2021-11-27
c_43,a_247,L,too large,2021-09-16
c_43,a_28,M,too large,2021-10-06
c_43,a_146,M,too small,2021-12-19
c_43,a_642,S,too small,2022-01-25
c_43,a_136,S,too small,2022-02-22
c_43,a_547,S,too large,2022-03-27
c_43,a_384,M,too large,2022-04-10
c_43,a_515,S,too large,2022-05-15
c_43,a_845,S,too small,2022-05-27
c_44,a_286,M,not applicable,2021-08-26
c_44,a_245,M,fit,2021-10-05
c_44,a_293,M,too large,2021-12-03
c_44,a_208,M,too large,2021-12-23
c_44,a_100,L,too large,2022-01-09
c_45,a_509,L,too small,2021-09-21
c_45,a_619,L,too small,2021-11-19
c_45,a_182,M,too small,2021-12-07
c_45,a_829,L,fit,2022-01-04
c_46,a_68,M,too large,2021-10-15
c_46,a_239,M,too large,2021-11-05
c_46,a_614,M,too large,2022-02-02
c_47,a_435,10.5,too small,2021-05-06
c_47,a_513,M,too large,2021-06-24
c_47,a_502,M,too large,2021-09-05
c_47,a_715,L,too large,2021-09-19
c_47,a_862,M,fit,2021-11-17
c_47,a_890,M,too large,2022-01-11
c_47,a_989,M,too large,2022-02-16
c_48,a_644,L,fit,2021-02-23
c_48,a_95,L,not applicable,2021-03-19
c_48,a_587,11.5,fit,2021-06-03
c_48,a_900,M,too small,2021-07-22
c_48,a_578,M,too small,2021-08-30
c_49,a_711,M,not applicable,2021-11-11
c_49,a_82,M,too small,2021-11-23
c_50,a_810,L,not applicable,2021-06-06
c_50,a_253,M,too small,2021-06-08
c_50,a_953,12.0,too small,2021-07-16
c_50,a_308,11.5,too small,2021-07-31
c_50,a_591,M,too small,2021-10-06
c_50,a_691,L,fit,2021-12-29
c_50,a_613,L,too small,2022-02-07
c_51,a_131,M,too small,2021-07-06
c_51,a_36,L,too large,2021-09-17
c_51,a_362,M,too large,2021-10-14
c_51,a_465,M,too large,2021-12-19
c_51,a_942,10.0,too small,2022-02-02
c_51,a_223,M,too large,2022-04-08
c_52,a_52,13.0,too small,2021-03-20
c_53,a_386,7.0,too small,2022-01-09
c_53,a_852,S,too small,2022-02-28
c_54,a_737,M,not applicable,2022-01-25
c_54,a_171,10.0,too large,2022-04-07
c_55,a_660,12.5,too small,2021-02-08
c_55,a_305,L,too large,2021-03-23
c_55,a_135,L,fit,2021-05-17
c_55,a_784,XL,not applicable,2021-05-30
c_55,a_838,L,fit,2021-08-14
c_55,a_839,L,too small,2021-09-07
c_55,a_84,XL,too small,2021-09-27
c_55,a_430,L,too small,2021-10-01
c_55,a_98,M,too small,2021-11-08
c_55,a_820,L,too large,2022-01-20
c_56,a_68,S,not applicable,2021-12-24
c_56,a_522,S,too large,2022-01-26
c_56,a_352,S,too small,2022-03-18
c_56,a_764,S,not applicable,2022-05-24
c_57,a_110,7.5,too large,2021-06-28
c_57,a_120,XS,not applicable,2021-09-02
c_57,a_917,8.0,too large,2021-11-04
c_57,a_322,XS,too small,2022-01-02
c_57,a_43,S,not applicable,2022-03-15
c_58,a_742,XL,not applicable,2021-05-02
c_58,a_412,XL,fit,2021-06-24
c_58,a_360,L,fit,2021-09-12
c_58,a_41,12.0,fit,2021-11-16
c_58,a_525,M,too small,2021-12-09
c_58,a_379,L,too small,2022-01-24
c_59,a_676,S,too small,2021-06-04
c_59,a_637,S,too small,2021-07-24
c_59,a_839,S,too small,2021-10-08
c_59,a_134,S,not applicable,2021-10-24
c_60,a_360,M,fit,2021-02-02
c_60,a_949,10.5,too small,2021-03-12
c_60,a_509,M,too small,2021-04-26
c_60,a_332,S,too small,2021-05-15
c_60,a_17,10.0,too small,2021-07-06
c_60,a_75,S,too small,2021-10-01
c_60,a_327,10.5,too large,2021-10-25
c_60,a_870,10.5,too small,2021-11-22
c_61,a_72,M,too small,2021-11-21
c_61,a_926,L,not applicable,2022-01-22
c_61,a_821,L,too small,2022-02-13
c_61,a_513,L,too large,2022-04-16
c_61,a_487,L,too large,2022-06-24
c_61,a_404,11.5,too large,2022-08-05
c_61,a_539,L,not applicable,2022-10-17
c_62,a_297,2XL,too small,2021-03-31
c_63,a_647,12.0,not applicable,2021-02-15
c_63,a_429,XL,too small,2021-04-12
c_63,a_586,L,too large,2021-05-09
c_63,a_195,L,too small,2021-05-28
c_63,a_996,12.5,too large,2021-06-28
c_64,a_221,S,too large,2022-01-04
c_64,a_678,S,too small,2022-02-28
c_64,a_286,M,too large,2022-04-25
c_65,a_58,8.5,too small,2021-04-11
c_65,a_59,S,not applicable,2021-06-09
c_66,a_614,S,too small,2021-07-28
c_66,a_329,M,fit,2021-09-10
c_66,a_999,M,fit,2021-10-22
c_66,a_716,M,too small,2021-11-19
c_67,a_770,11.0,too small,2021-05-23
c_67,a_34,L,not applicable,2021-08-12
c_67,a_239,L,not applicable,2021-08-18
c_68,a_88,2XL,not applicable,2021-05-19
c_68,a_622,2XL,fit,2021-07-22
c_68,a_361,2XL,fit,2021-10-09
c_68,a_587,14.5,fit,2021-12-18
c_68,a_608,14.5,too large,2022-02-27
c_68,a_957,XL,too small,2022-05-05
c_68,a_957,2XL,fit,2022-06-03
c_69,a_257,L,too small,2022-01-17
c_69,a_784,XL,too large,2022-03-05
c_69,a_83,14.0,fit,2022-03-07
c_69,a_441,13.5,too small,2022-06-02
c_69,a_291,XL,fit,2022-08-10
c_69,a_954,14.0,too small,2022-10-01
c_70,a_75,M,not applicable,2021-06-21
c_70,a_354,M,too small,2021-08-10
c_70,a_251,S,too small,2021-11-05
c_70,a_191,M,too small,2021-12-21
c_70,a_764,L,too large,2022-01-30
c_71,a_324,13.5,too large,2021-02-19
c_71,a_118,13.5,not applicable,2021-03-07
c_71,a_40,L,too small,2021-05-03
c_71,a_962,XL,not applicable,2021-06-09
c_72,a_327,9.5,too large,2021-08-07
c_72,a_517,M,too large,2021-08-16
c_73,a_8,L,fit,2021-10-26
c_73,a_626,L,too small,2021-11-30
c_73,a_412,L,fit,2022-02-01
c_73,a_581,L,fit,2022-04-29
c_74,a_184,M,not applicable,2021-04-05
c_74,a_665,L,too large,2021-05-28
c_74,a_352,S,too small,2021-06-24
c_74,a_986,M,not applicable,2021-09-15
c_74,a_996,10.0,not applicable,2021-09-27
c_74,a_36,M,too small,2021-11-22
c_74,a_676,M,too small,2022-01-17
c_74,a_676,M,too small,2022-03-07
c_74,a_758,M,too small,2022-03-14
c_74,a_657,M,too small,2022-06-06
c_75,a_849,XL,too large,2021-09-10
c_75,a_384,XL,too large,2021-09-17
c_75,a_27,XL,too large,2021-12-14
c_75,a_638,2XL,too large,2022-01-31
c_75,a_766,XL,too large,2022-04-27
c_76,a_270,L,too small,2021-07-23
c_76,a_801,L,fit,2021-07-25
c_76,a_829,XL,too large,2021-09-17
c_76,a_807,L,not applicable,2021-10-31
c_76,a_775,L,fit,2021-12-05
c_77,a_418,L,fit,2021-05-28
c_77,a_660,11.0,too small,2021-06-11
c_77,a_807,L,too large,2021-08-27
c_77,a_285,M,too small,2021-09-29
c_77,a_880,L,fit,2021-11-22
c_77,a_641,L,too large,2022-01-01
c_78,a_495,L,too small,2021-08-17
c_79,a_190,XL,too large,2021-03-21
c_79,a_934,L,too small,2021-06-10
c_79,a_770,13.0,too small,2021-08-02
c_79,a_973,2XL,too large,2021-09-20
c_79,a_769,XL,fit,2021-12-04
c_79,a_847,XL,fit,2021-12-05
c_79,a_608,13.0,not applicable,2021-12-06
c_79,a_983,L,too small,2022-02-13
c_79,a_157,XL,too small,2022-05-11
c_80,a_417,M,too small,2021-05-31
c_80,a_843,M,too small,2021-06-27
c_80,a_707,M,too large,2021-09-03
c_80,a_849,L,too large,2021-12-01
c_80,a_604,S,too small,2022-01-30
c_80,a_280,S,too small,2022-03-18
c_81,a_638,XL,not applicable,2021-08-07
c_81,a_822,2XL,too large,2021-08-11
c_81,a_721,XL,fit,2021-11-01
c_81,a_551,XL,fit,2022-01-18
c_81,a_676,XL,too small,2022-02-13
c_81,a_931,13.5,too small,2022-04-29
c_82,a_324,9.5,too large,2021-03-29
c_82,a_27,M,too large,2021-05-08
c_82,a_362,M,too large,2021-06-18
c_82,a_923,M,too large,2021-06-22
c_82,a_241,M,too small,2021-07-25
c_82,a_715,M,too small,2021-10-18
c_82,a_579,9.5,too small,2022-01-12
c_83,a_154,M,too small,2021-02-16
c_83,a_781,M,too small,2021-02-22
c_83,a_412,S,too small,2021-04-08
c_83,a_667,L,too large,2021-06-04
c_83,a_63,S,too small,2021-07-19
c_84,a_4,13.0,not applicable,2021-04-11
c_84,a_591,XL,not applicable,2021-06-30
c_84,a_660,13.5,too small,2021-09-08
c_84,a_122,13.0,too small,2021-09-29
c_84,a_366,XL,too large,2021-12-25
c_85,a_222,M,too small,2021-05-25
c_85,a_830,10.0,too small,2021-08-11
c_85,a_336,10.5,not applicable,2021-09-15
c_85,a_772,10.0,too small,2021-11-20
c_85,a_161,M,fit,2022-01-11
c_85,a_680,S,too small,2022-01-29
c_85,a_474,M,fit,2022-02-20
c_85,a_828,10.5,not applicable,2022-04-03
c_86,a_614,L,too large,2021-11-07
c_86,a_581,M,too small,2021-11-28
c_86,a_145,L,too small,2022-01-01
c_87,a_886,M,too large,2021-05-28
c_87,a_709,L,too large,2021-08-08
c_87,a_218,L,too large,2021-09-23
c_88,a_180,L,too large,2021-07-21
c_88,a_296,M,fit,2021-10-08
c_88,a_387,L,too large,2021-12-03
c_88,a_389,M,fit,2022-02-20
c_88,a_130,M,too small,2022-04-30
c_88,a_620,M,too large,2022-05-13
c_88,a_818,M,too large,2022-07-11
c_88,a_537,M,fit,2022-09-07
c_89,a_250,XL,not applicable,2021-04-03
c_89,a_802,L,too small,2021-05-13
c_89,a_624,L,too large,2021-07-11
c_89,a_308,12.0,too large,2021-07-23
c_90,a_978,L,too large,2021-06-04
c_90,a_58,9.0,too small,2021-07-12
c_90,a_810,M,not applicable,2021-08-07
c_90,a_175,M,too small,2021-09-09
c_90,a_708,M,fit,2021-10-02
c_90,a_689,9.5,fit,2021-12-12
c_91,a_315,L,fit,2021-08-16
c_91,a_591,L,too large,2021-10-18
c_91,a_352,M,too small,2021-11-06
c_91,a_146,L,too small,2021-11-22
c_91,a_947,L,fit,2021-12-05
c_91,a_126,L,fit,2022-01-21
c_92,a_36,XL,not applicable,2021-11-07
c_92,a_84,L,too small,2022-01-07
c_92,a_542,XL,too large,2022-02-15
c_92,a_363,L,too large,2022-04-14
c_93,a_405,M,fit,2021-05-24
c_93,a_621,L,too large,2021-06-27
c_93,a_604,M,too small,2021-09-19
c_93,a_432,S,too small,2021-10-13
c_93,a_904,M,too large,2021-11-24
c_93,a_909,M,too large,2022-01-12
c_93,a_947,M,fit,2022-03-10
c_93,a_679,M,too small,2022-04-18
c_94,a_78,L,too small,2022-03-05
c_94,a_222,XL,too large,2022-04-03
c_94,a_661,12.5,not applicable,2022-04-16
c_94,a_860,L,too small,2022-07-12
c_94,a_114,L,too large,2022-08-06
c_95,a_157,L,too small,2021-07-01
c_95,a_137,L,too small,2021-09-20
c_95,a_161,L,fit,2021-10-01
c_95,a_918,L,fit,2021-10-16
c_95,a_187,L,fit,2021-11-23
c_95,a_907,L,fit,2022-02-16
c_96,a_141,XL,too large,2021-03-12
c_96,a_306,L,too small,2021-06-03
c_96,a_239,L,too large,2021-08-04
c_96,a_887,L,too large,2021-09-14
c_96,a_812,L,not applicable,2021-11-23
c_96,a_392,11.0,not applicable,2022-01-14
c_96,a_540,11.0,not applicable,2022-02-21
c_96,a_701,M,too small,2022-04-15
c_96,a_451,L,too small,2022-05-22
c_97,a_39,S,too small,2021-10-11
c_97,a_4,10.5,too large,2021-12-08
c_97,a_174,M,fit,2022-02-19
c_97,a_10,M,fit,2022-02-22
c_98,a_442,XS,not applicable,2021-11-11
c_98,a_591,S,too large,2021-12-27
c_98,a_98,XS,not applicable,2022-03-18
c_98,a_890,XS,too large,2022-06-06
c_98,a_150,S,too large,2022-07-18
c_99,a_942,8.0,too small,2021-04-16
c_99,a_115,S,too large,2021-04-30
c_99,a_565,S,too small,2021-05-20
c_99,a_446,8.0,too small,2021-05-22
c_99,a_45,XS,too small,2021-05-31
c_100,a_945,9.5,fit,2021-10-03
c_100,a_840,M,too small,2021-10-24
c_100,a_637,L,too large,2022-01-01
c_100,a_279,9.5,fit,2022-02-23
c_100,a_656,M,fit,2022-03-04
c_100,a_680,M,fit,2022-04-12
c_100,a_941,M,fit,2022-04-23
c_101,a_859,S,too large,2021-03-11
c_101,a_223,S,too large,2021-03-14
c_101,a_407,S,too small,2021-04-30
c_101,a_436,XS,too small,2021-07-13
c_101,a_470,S,too small,2021-09-23
c_102,a_412,M,too large,2021-04-03
c_102,a_665,S,too small,2021-05-23
c_102,a_548,S,too small,2021-08-18
c_102,a_569,M,too large,2021-09-07
c_102,a_59,S,too small,2021-10-20
c_103,a_240,13.5,fit,2021-12-11
c_103,a_307,XL,too large,2022-03-10
c_103,a_273,XL,fit,2022-03-26
c_103,a_69,XL,fit,2022-04-08
c_103,a_492,XL,too large,2022-07-04
c_104,a_461,L,too small,2021-04-28
c_104,a_389,L,too small,2021-06-24
c_104,a_594,L,too small,2021-09-02
c_104,a_335,XL,not applicable,2021-10-26
c_105,a_3,XS,too small,2021-06-23
c_105,a_744,S,too large,2021-07-26
c_105,a_876,S,too small,2021-08-20
c_105,a_82,S,too small,2021-10-23
c_105,a_285,S,too large,2021-12-06
c_106,a_823,XS,too small,2021-05-31
c_106,a_759,S,too small,2021-08-24
c_106,a_467,XS,too small,2021-09-19
c_106,a_886,S,too large,2021-10-06
c_106,a_856,S,too small,2021-11-26
c_106,a_407,S,too small,2021-12-03
c_106,a_433,S,too small,2022-02-18
c_106,a_271,S,too small,2022-05-09
c_107,a_341,14.0,fit,2021-04-15
c_107,a_430,2XL,too small,2021-05-05
c_107,a_337,14.0,too large,2021-06-30
c_107,a_123,2XL,too large,2021-08-22
c_107,a_290,XL,too small,2021-09-25
c_108,a_663,2XL,fit,2021-07-04
c_108,a_490,2XL,fit,2021-09-25
c_108,a_206,14.5,fit,2021-12-15
c_108,a_755,2XL,fit,2021-12-26
c_108,a_433,2XL,too small,2022-01-25
c_108,a_826,14.5,too large,2022-04-04
c_108,a_840,XL,too small,2022-06-26
c_108,a_97,XL,too small,2022-07-14
c_109,a_143,L,too large,2021-12-28
c_110,a_68,XL,not applicable,2021-07-04
c_110,a_718,L,too small,2021-07-09
c_110,a_681,2XL,not applicable,2021-07-16
c_110,a_738,L,too small,2021-09-09
c_111,a_939,L,too large,2021-06-15
c_111,a_194,S,not applicable,2021-08-11
c_111,a_704,S,too small,2021-10-16
c_111,a_65,M,fit,2021-11-20
c_111,a_573,10.5,too small,2022-01-10
c_112,a_515,L,too large,2021-08-01
c_112,a_249,L,too small,2021-10-29
c_112,a_590,L,too small,2021-11-09
c_112,a_451,L,too small,2021-12-14
c_112,a_734,M,too small,2021-12-17
c_112,a_55,L,fit,2022-01-24
c_112,a_823,L,fit,2022-02-09
c_113,a_286,L,too small,2021-12-16
c_113,a_530,L,too large,2022-03-13
c_113,a_341,10.0,fit,2022-05-05
c_114,a_292,M,too small,2022-01-12
c_114,a_589,M,too small,2022-03-27
c_114,a_383,M,too small,2022-05-19
c_114,a_571,M,too small,2022-06-11
c_114,a_534,M,not applicable,2022-07-24
c_115,a_237,XL,fit,2022-01-12
c_115,a_137,XL,too small,2022-03-03
c_115,a_797,XL,fit,2022-05-23
c_115,a_490,XL,fit,2022-06-06
c_115,a_479,L,too small,2022-07-05
c_115,a_945,14.0,too small,2022-09-26
c_115,a_637,XL,fit,2022-12-13
c_115,a_742,XL,too small,2023-02-19
c_115,a_307,XL,not applicable,2023-04-16
c_115,a_145,L,too small,2023-04-27
c_116,a_840,S,too small,2022-01-13
c_116,a_602,M,fit,2022-02-05
c_116,a_15,S,not applicable,2022-04-28
c_116,a_332,XS,too small,2022-05-20
c_116,a_192,L,too large,2022-07-22
c_116,a_399,9.5,too small,2022-10-07
c_116,a_226,M,too large,2022-10-19
c_117,a_899,M,too small,2021-08-16
c_117,a_468,L,too small,2021-09-20
c_117,a_590,M,too small,2021-12-06
c_118,a_642,M,too small,2021-04-03
c_118,a_984,M,not applicable,2021-04-30
c_118,a_202,L,too large,2021-05-24
c_118,a_788,M,not applicable,2021-06-01
c_118,a_722,10.0,not applicable,2021-07-26
c_118,a_148,S,too small,2021-09-01
c_119,a_770,13.0,too small,2021-11-18
c_119,a_115,XL,too large,2021-11-20
c_119,a_943,XL,too small,2021-12-20
c_119,a_287,2XL,too large,2022-03-05
c_119,a_617,L,too small,2022-03-06
c_119,a_572,13.5,too large,2022-04-03
c_119,a_720,XL,too large,2022-05-12
c_119,a_684,2XL,too large,2022-07-07
c_120,a_650,L,fit,2021-04-19
c_120,a_915,12.0,too small,2021-04-27
c_120,a_686,L,too small,2021-06-01
c_120,a_888,M,too small,2021-07-28
c_120,a_6,XL,too large,2021-09-08
c_120,a_521,L,fit,2021-12-03
c_120,a_239,M,too small,2021-12-23
c_120,a_672,L,not applicable,2022-01-11
c_120,a_405,L,fit,2022-03-24
c_121,a_204,XL,fit,2021-09-21
c_121,a_10,2XL,not applicable,2021-11-29
c_121,a_779,XL,too small,2022-01-27
c_121,a_206,13.5,fit,2022-03-07
c_121,a_424,XL,not applicable,2022-05-16
c_122,a_354,XL,too large,2021-11-23
c_122,a_822,XL,too large,2022-02-03
c_122,a_311,L,too small,2022-02-17
c_122,a_330,XL,too large,2022-03-26
c_123,a_844,S,fit,2021-12-29
c_123,a_405,S,fit,2022-02-14
c_123,a_665,S,fit,2022-02-19
c_123,a_440,S,too small,2022-05-14
c_124,a_848,8.0,too small,2021-08-29
c_124,a_418,S,fit,2021-10-20
c_124,a_669,S,fit,2021-12-04
c_124,a_821,S,too small,2022-02-13
c_124,a_486,S,not applicable,2022-03-06
c_125,a_906,M,not applicable,2021-08-10
c_125,a_475,M,too large,2021-09-19
c_125,a_539,M,not applicable,2021-10-18
c_125,a_332,M,too small,2021-12-22
c_125,a_435,9.5,too small,2022-02-08
c_125,a_107,M,too small,2022-04-12
c_125,a_53,10.0,not applicable,2022-06-06
c_125,a_812,S,too small,2022-06-27
c_126,a_525,S,not applicable,2022-01-10
c_126,a_91,M,too large,2022-01-22
c_126,a_661,7.5,too small,2022-03-05
c_126,a_85,S,fit,2022-05-12
c_126,a_869,L,too large,2022-05-26
c_126,a_646,M,too large,2022-06-05
c_126,a_848,8.0,too small,2022-08-24
c_127,a_754,XL,not applicable,2021-10-31
c_127,a_527,XL,fit,2021-11-07
c_127,a_509,L,too small,2021-11-18
c_127,a_236,XL,not applicable,2021-11-23
c_127,a_183,XL,fit,2022-01-11
c_128,a_665,M,too small,2021-04-24
c_128,a_440,M,too small,2021-07-05
c_128,a_84,L,too small,2021-08-19
c_128,a_354,L,too large,2021-08-24
c_128,a_440,M,too small,2021-11-14
c_129,a_474,S,too small,2021-12-30
c_129,a_378,M,fit,2022-02-08
c_130,a_901,L,fit,2021-03-23
c_130,a_315,L,fit,2021-06-16
