consumer_id,seq_len,product_type_ids,material_ids,size_ids,section_ids,gender_id,age_bin_id,country_id,label_id,product_type_id_t,material_id_t,size_id_t,section_id_t,transaction_date_t
c_127,2,"[1, 3]","[6, 6]","[7, 27]","[3, 3]",1,1,3,1,4,1,7,1,2021-12-27
c_127,3,"[1, 3, 4]","[6, 6, 1]","[7, 27, 7]","[3, 3, 1]",1,1,3,1,2,5,7,1,2022-03-23
c_127,4,"[1, 3, 4, 2]","[6, 6, 1, 5]","[7, 27, 7, 7]","[3, 3, 1, 1]",1,1,3,2,6,5,7,2,2022-05-14
c_128,1,[4],[7],[4],[2],1,3,0,1,3,7,18,3,2021-09-16
c_128,2,"[4, 3]","[7, 7]","[4, 18]","[2, 3]",1,3,0,1,4,7,4,3,2021-12-06
c_128,3,"[4, 3, 4]","[7, 7, 7]","[4, 18, 4]","[2, 3, 3]",1,3,0,0,1,5,4,2,2021-12-18
c_128,4,"[4, 3, 4, 1]","[7, 7, 7, 5]","[4, 18, 4, 4]","[2, 3, 3, 2]",1,3,0,3,6,7,4,1,2022-01-08
c_128,5,"[4, 3, 4, 1, 6]","[7, 7, 7, 5, 7]","[4, 18, 4, 4, 4]","[2, 3, 3, 2, 1]",1,3,0,1,3,7,18,2,2022-01-22
c_128,6,"[4, 3, 4, 1, 6, 3]","[7, 7, 7, 5, 7, 7]","[4, 18, 4, 4, 4, 18]","[2, 3, 3, 2, 1, 2]",1,3,0,1,1,7,4,3,2022-04-09
c_128,7,"[4, 3, 4, 1, 6, 3, 1]","[7, 7, 7, 5, 7, 7, 7]","[4, 18, 4, 4, 4, 18, 4]","[2, 3, 3, 2, 1, 2, 3]",1,3,0,1,6,2,4,2,2022-06-18
c_129,1,[2],[5],[4],[1],0,2,1,0,4,1,4,1,2021-03-30
c_129,2,"[2, 4]","[5, 1]","[4, 4]","[1, 1]",0,2,1,0,6,5,4,3,2021-04-02
c_129,3,"[2, 4, 6]","[5, 1, 5]","[4, 4, 4]","[1, 1, 3]",0,2,1,0,2,5,3,2,2021-04-28
c_129,4,"[2, 4, 6, 2]","[5, 1, 5, 5]","[4, 4, 4, 3]","[1, 1, 3, 2]",0,2,1,2,6,7,4,1,2021-05-20
c_129,5,"[2, 4, 6, 2, 6]","[5, 1, 5, 5, 7]","[4, 4, 4, 3, 4]","[1, 1, 3, 2, 1]",0,2,1,0,1,3,3,2,2021-06-04
c_13,1,[2],[5],[3],[3],1,4,3,2,5,2,5,3,2021-09-03
c_13,2,"[2, 5]","[5, 2]","[3, 5]","[3, 3]",1,4,3,3,3,7,16,1,2021-09-20
c_13,3,"[2, 5, 3]","[5, 2, 7]","[3, 5, 16]","[3, 3, 1]",1,4,3,1,4,8,4,3,2021-11-15
c_131,1,[4],[7],[3],[1],1,4,3,1,5,7,3,2,2022-02-27
c_131,2,"[4, 5]","[7, 7]","[3, 3]","[1, 2]",1,4,3,0,5,2,3,2,2022-04-22
c_131,3,"[4, 5, 5]","[7, 7, 2]","[3, 3, 3]","[1, 2, 2]",1,4,3,2,5,2,3,1,2022-05-02
c_131,4,"[4, 5, 5, 5]","[7, 7, 2, 2]","[3, 3, 3, 3]","[1, 2, 2, 1]",1,4,3,2,4,7,3,3,2022-06-08
c_131,5,"[4, 5, 5, 5, 4]","[7, 7, 2, 2, 7]","[3, 3, 3, 3, 3]","[1, 2, 2, 1, 3]",1,4,3,2,5,5,3,2,2022-08-09
c_131,6,"[4, 5, 5, 5, 4, 5]","[7, 7, 2, 2, 7, 5]","[3, 3, 3, 3, 3, 3]","[1, 2, 2, 1, 3, 2]",1,4,3,1,5,2,3,3,2022-10-17
c_131,7,"[4, 5, 5, 5, 4, 5, 5]","[7, 7, 2, 2, 7, 5, 2]","[3, 3, 3, 3, 3, 3, 3]","[1, 2, 2, 1, 3, 2, 3]",1,4,3,3,1,7,3,1,2022-11-18
c_132,1,[1],[5],[3],[2],0,3,0,1,4,7,4,3,2021-11-14
c_133,1,[5],[2],[4],[3],1,4,1,2,1,5,3,1,2021-07-19
c_133,2,"[5, 1]","[2, 5]","[4, 3]","[3, 1]",1,4,1,3,4,1,4,3,2021-09-15
c_133,3,"[5, 1, 4]","[2, 5, 1]","[4, 3, 4]","[3, 1, 3]",1,4,1,3,2,5,4,3,2021-10-25
c_134,1,[1],[6],[3],[2],1,4,1,2,2,5,4,1,2021-12-18
c_134,2,"[1, 2]","[6, 5]","[3, 4]","[2, 1]",1,4,1,0,2,5,2,1,2021-12-28
c_134,3,"[1, 2, 2]","[6, 5, 5]","[3, 4, 2]","[2, 1, 1]",1,4,1,1,2,5,3,1,2022-03-19
c_134,4,"[1, 2, 2, 2]","[6, 5, 5, 5]","[3, 4, 2, 3]","[2, 1, 1, 1]",1,4,1,3,2,5,3,2,2022-05-24
c_135,1,[1],[7],[4],[2],2,0,3,3,4,7,4,1,2021-07-28
c_135,2,"[1, 4]","[7, 7]","[4, 4]","[2, 1]",2,0,3,2,2,5,4,3,2021-09-29
c_135,3,"[1, 4, 2]","[7, 7, 5]","[4, 4, 4]","[2, 1, 3]",2,0,3,2,6,5,5,1,2021-10-24
c_135,4,"[1, 4, 2, 6]","[7, 7, 5, 5]","[4, 4, 4, 5]","[2, 1, 3, 1]",2,0,3,2,6,2,4,2,2021-12-09
c_135,5,"[1, 4, 2, 6, 6]","[7, 7, 5, 5, 2]","[4, 4, 4, 5, 4]","[2, 1, 3, 1, 2]",2,0,3,0,4,1,3,1,2022-01-15
c_135,6,"[1, 4, 2, 6, 6, 4]","[7, 7, 5, 5, 2, 1]","[4, 4, 4, 5, 4, 3]","[2, 1, 3, 1, 2, 1]",2,0,3,3,6,2,4,2,2022-02-08
c_137,1,[1],[7],[6],[1],0,2,2,0,1,6,5,1,2021-07-06
c_137,2,"[1, 1]","[7, 6]","[6, 5]","[1, 1]",0,2,2,2,6,2,7,3,2021-09-10
c_137,3,"[1, 1, 6]","[7, 6, 2]","[6, 5, 7]","[1, 1, 3]",0,2,2,2,5,2,6,2,2021-10-21
c_138,1,[5],[7],[6],[2],0,0,2,0,5,2,5,2,2022-01-19
c_138,2,"[5, 5]","[7, 2]","[6, 5]","[2, 2]",0,0,2,0,4,8,6,1,2022-03-22
c_138,3,"[5, 5, 4]","[7, 2, 8]","[6, 5, 6]","[2, 2, 1]",0,0,2,2,1,5,6,1,2022-06-15
c_139,1,[6],[7],[4],[2],1,3,3,0,1,3,3,3,2021-09-26
c_139,2,"[6, 1]","[7, 3]","[4, 3]","[2, 3]",1,3,3,1,2,5,5,2,2021-11-29
c_139,3,"[6, 1, 2]","[7, 3, 5]","[4, 3, 5]","[2, 3, 2]",1,3,3,3,5,2,4,2,2022-02-04
c_139,4,"[6, 1, 2, 5]","[7, 3, 5, 2]","[4, 3, 5, 4]","[2, 3, 2, 2]",1,3,3,0,6,5,3,1,2022-03-29
c_139,5,"[6, 1, 2, 5, 6]","[7, 3, 5, 2, 5]","[4, 3, 5, 4, 3]","[2, 3, 2, 2, 1]",1,3,3,3,4,1,3,1,2022-04-04
c_139,6,"[6, 1, 2, 5, 6, 4]","[7, 3, 5, 2, 5, 1]","[4, 3, 5, 4, 3, 3]","[2, 3, 2, 2, 1, 1]",1,3,3,1,6,7,4,2,2022-05-04
c_14,1,[1],[5],[4],[2],0,4,0,2,6,2,4,2,2021-09-25
c_14,2,"[1, 6]","[5, 2]","[4, 4]","[2, 2]",0,4,0,2,6,7,3,1,2021-12-07
c_14,3,"[1, 6, 6]","[5, 2, 7]","[4, 4, 3]","[2, 2, 1]",0,4,0,0,2,5,3,3,2022-03-03
c_14,4,"[1, 6, 6, 2]","[5, 2, 7, 5]","[4, 4, 3, 3]","[2, 2, 1, 3]",0,4,0,2,6,7,3,2,2022-04-28
c_140,1,[5],[5],[6],[1],2,3,3,0,3,6,25,2,2021-12-27
c_142,1,[4],[7],[3],[2],0,1,0,0,2,5,2,3,2021-06-26
c_142,2,"[4, 2]","[7, 5]","[3, 2]","[2, 3]",0,1,0,0,5,7,3,2,2021-07-08
c_142,3,"[4, 2, 5]","[7, 5, 7]","[3, 2, 3]","[2, 3, 2]",0,1,0,0,4,1,2,2,2021-07-26
c_142,4,"[4, 2, 5, 4]","[7, 5, 7, 1]","[3, 2, 3, 2]","[2, 3, 2, 2]",0,1,0,0,3,7,14,1,2021-10-15
c_142,5,"[4, 2, 5, 4, 3]","[7, 5, 7, 1, 7]","[3, 2, 3, 2, 14]","[2, 3, 2, 2, 1]",0,1,0,0,2,8,2,3,2021-12-03
c_142,6,"[4, 2, 5, 4, 3, 2]","[7, 5, 7, 1, 7, 8]","[3, 2, 3, 2, 14, 2]","[2, 3, 2, 2, 1, 3]",0,1,0,0,5,5,2,2,2022-01-07
c_142,7,"[4, 2, 5, 4, 3, 2, 5]","[7, 5, 7, 1, 7, 8, 5]","[3, 2, 3, 2, 14, 2, 2]","[2, 3, 2, 2, 1, 3, 2]",0,1,0,2,5,2,3,3,2022-03-15
c_143,1,[4],[7],[3],[2],0,4,3,1,1,7,3,1,2021-06-25
c_143,2,"[4, 1]","[7, 7]","[3, 3]","[2, 1]",0,4,3,3,1,3,4,2,2021-09-21
c_143,3,"[4, 1, 1]","[7, 7, 3]","[3, 3, 4]","[2, 1, 2]",0,4,3,0,6,7,2,3,2021-12-14
c_143,4,"[4, 1, 1, 6]","[7, 7, 3, 7]","[3, 3, 4, 2]","[2, 1, 2, 3]",0,4,3,0,3,6,15,3,2022-02-08
c_144,1,[2],[8],[6],[1],2,1,0,2,6,2,7,1,2022-01-04
c_144,2,"[2, 6]","[8, 2]","[6, 7]","[1, 1]",2,1,0,1,5,2,6,2,2022-02-02
c_144,3,"[2, 6, 5]","[8, 2, 2]","[6, 7, 6]","[1, 1, 2]",2,1,0,2,1,5,6,3,2022-02-20
c_144,4,"[2, 6, 5, 1]","[8, 2, 2, 5]","[6, 7, 6, 6]","[1, 1, 2, 3]",2,1,0,0,3,4,24,2,2022-05-19
c_144,5,"[2, 6, 5, 1, 3]","[8, 2, 2, 5, 4]","[6, 7, 6, 6, 24]","[1, 1, 2, 3, 2]",2,1,0,1,5,7,6,1,2022-05-21
c_145,1,[1],[6],[3],[1],0,2,1,0,1,5,2,3,2021-05-13
c_145,2,"[1, 1]","[6, 5]","[3, 2]","[1, 3]",0,2,1,2,1,6,3,3,2021-07-10
c_145,3,"[1, 1, 1]","[6, 5, 6]","[3, 2, 3]","[1, 3, 3]",0,2,1,0,6,2,3,3,2021-07-11
c_145,4,"[1, 1, 1, 6]","[6, 5, 6, 2]","[3, 2, 3, 3]","[1, 3, 3, 3]",0,2,1,3,3,4,16,3,2021-10-07
c_145,5,"[1, 1, 1, 6, 3]","[6, 5, 6, 2, 4]","[3, 2, 3, 3, 16]","[1, 3, 3, 3, 3]",0,2,1,1,2,5,3,3,2021-12-09
c_145,6,"[1, 1, 1, 6, 3, 2]","[6, 5, 6, 2, 4, 5]","[3, 2, 3, 3, 16, 3]","[1, 3, 3, 3, 3, 3]",0,2,1,1,1,7,3,2,2022-03-01
c_146,1,[5],[2],[3],[2],0,5,3,0,3,6,15,2,2021-09-24
c_146,2,"[5, 3]","[2, 6]","[3, 15]","[2, 2]",0,5,3,2,2,5,4,3,2021-12-04
c_146,3,"[5, 3, 2]","[2, 6, 5]","[3, 15, 4]","[2, 2, 3]",0,5,3,0,4,1,3,1,2022-01-18
c_147,1,[3],[7],[17],[2],1,3,1,2,1,5,4,1,2021-11-12
c_147,2,"[3, 1]","[7, 5]","[17, 4]","[2, 1]",1,3,1,3,1,5,4,3,2021-11-23
c_147,3,"[3, 1, 1]","[7, 5, 5]","[17, 4, 4]","[2, 1, 3]",1,3,1,2,1,7,5,2,2022-01-23
c_147,4,"[3, 1, 1, 1]","[7, 5, 5, 7]","[17, 4, 4, 5]","[2, 1, 3, 2]",1,3,1,1,2,5,4,2,2022-02-10
c_147,5,"[3, 1, 1, 1, 2]","[7, 5, 5, 7, 5]","[17, 4, 4, 5, 4]","[2, 1, 3, 2, 2]",1,3,1,2,2,5,4,3,2022-02-25
c_147,6,"[3, 1, 1, 1, 2, 2]","[7, 5, 5, 7, 5, 5]","[17, 4, 4, 5, 4, 4]","[2, 1, 3, 2, 2, 3]",1,3,1,3,5,2,3,3,2022-03-23
c_148,1,[6],[5],[4],[3],0,3,2,2,1,5,6,3,2022-04-08
c_148,2,"[6, 1]","[5, 5]","[4, 6]","[3, 3]",0,3,2,2,5,2,5,3,2022-06-08
c_148,3,"[6, 1, 5]","[5, 5, 2]","[4, 6, 5]","[3, 3, 3]",0,3,2,0,1,6,5,1,2022-06-24
c_148,4,"[6, 1, 5, 1]","[5, 5, 2, 6]","[4, 6, 5, 5]","[3, 3, 3, 1]",0,3,2,0,3,6,21,2,2022-07-06
c_148,5,"[6, 1, 5, 1, 3]","[5, 5, 2, 6, 6]","[4, 6, 5, 5, 21]","[3, 3, 3, 1, 2]",0,3,2,2,6,2,5,3,2022-07-14
c_148,6,"[6, 1, 5, 1, 3, 6]","[5, 5, 2, 6, 6, 2]","[4, 6, 5, 5, 21, 5]","[3, 3, 3, 1, 2, 3]",0,3,2,0,5,2,4,3,2022-10-06
c_149,1,[1],[5],[4],[1],0,6,2,3,2,7,4,2,2021-06-21
c_149,2,"[1, 2]","[5, 7]","[4, 4]","[1, 2]",0,6,2,3,6,2,4,3,2021-08-02
c_149,3,"[1, 2, 6]","[5, 7, 2]","[4, 4, 4]","[1, 2, 3]",0,6,2,1,4,1,4,1,2021-10-04
c_149,4,"[1, 2, 6, 4]","[5, 7, 2, 1]","[4, 4, 4, 4]","[1, 2, 3, 1]",0,6,2,2,5,2,4,2,2021-12-18
c_15,1,[4],[1],[2],[3],0,6,0,0,1,7,1,1,2021-04-20
c_15,2,"[4, 1]","[1, 7]","[2, 1]","[3, 1]",0,6,0,2,3,7,11,2,2021-07-14
c_15,3,"[4, 1, 3]","[1, 7, 7]","[2, 1, 11]","[3, 1, 2]",0,6,0,0,5,7,2,3,2021-08-24
c_15,4,"[4, 1, 3, 5]","[1, 7, 7, 7]","[2, 1, 11, 2]","[3, 1, 2, 3]",0,6,0,2,5,5,2,2,2021-09-25
c_150,1,[2],[3],[6],[1],1,2,3,1,2,7,6,3,2021-06-08
c_150,2,"[2, 2]","[3, 7]","[6, 6]","[1, 3]",1,2,3,2,1,7,6,1,2021-07-12
c_152,1,[5],[2],[4],[3],1,3,3,2,4,1,5,1,2021-06-10
c_152,2,"[5, 4]","[2, 1]","[4, 5]","[3, 1]",1,3,3,3,6,2,4,3,2021-08-19
c_152,3,"[5, 4, 6]","[2, 1, 2]","[4, 5, 4]","[3, 1, 3]",1,3,3,1,2,7,5,3,2021-09-25
c_152,4,"[5, 4, 6, 2]","[2, 1, 2, 7]","[4, 5, 4, 5]","[3, 1, 3, 3]",1,3,3,3,1,7,4,1,2021-10-31
c_152,5,"[5, 4, 6, 2, 1]","[2, 1, 2, 7, 7]","[4, 5, 4, 5, 4]","[3, 1, 3, 3, 1]",1,3,3,3,1,5,5,3,2021-12-26
c_153,1,[3],[7],[15],[3],0,2,1,0,2,8,2,1,2022-04-20
c_153,2,"[3, 2]","[7, 8]","[15, 2]","[3, 1]",0,2,1,0,6,2,3,3,2022-07-01
c_153,3,"[3, 2, 6]","[7, 8, 2]","[15, 2, 3]","[3, 1, 3]",0,2,1,2,2,5,2,1,2022-07-06
c_153,4,"[3, 2, 6, 2]","[7, 8, 2, 5]","[15, 2, 3, 2]","[3, 1, 3, 1]",0,2,1,0,3,6,14,1,2022-08-13
c_154,1,[4],[8],[3],[3],0,2,0,2,5,7,5,2,2021-06-04
c_154,2,"[4, 5]","[8, 7]","[3, 5]","[3, 2]",0,2,0,2,1,5,4,3,2021-08-28
c_154,3,"[4, 5, 1]","[8, 7, 5]","[3, 5, 4]","[3, 2, 3]",0,2,0,2,2,7,4,2,2021-09-18
c_154,4,"[4, 5, 1, 2]","[8, 7, 5, 7]","[3, 5, 4, 4]","[3, 2, 3, 2]",0,2,0,2,4,1,4,3,2021-12-12
c_154,5,"[4, 5, 1, 2, 4]","[8, 7, 5, 7, 1]","[3, 5, 4, 4, 4]","[3, 2, 3, 2, 3]",0,2,0,2,1,7,4,1,2022-01-11
c_154,6,"[4, 5, 1, 2, 4, 1]","[8, 7, 5, 7, 1, 7]","[3, 5, 4, 4, 4, 4]","[3, 2, 3, 2, 3, 1]",0,2,0,0,6,5,3,3,2022-03-09
c_154,7,"[4, 5, 1, 2, 4, 1, 6]","[8, 7, 5, 7, 1, 7, 5]","[3, 5, 4, 4, 4, 4, 3]","[3, 2, 3, 2, 3, 1, 3]",0,2,0,1,6,2,4,3,2022-03-26
c_155,1,[4],[1],[5],[1],1,1,0,2,4,8,6,2,2021-11-08
c_155,2,"[4, 4]","[1, 8]","[5, 6]","[1, 2]",1,1,0,2,2,5,5,1,2021-11-24
c_156,1,[5],[2],[3],[1],0,0,0,1,1,3,3,3,2022-02-04
c_156,2,"[5, 1]","[2, 3]","[3, 3]","[1, 3]",0,0,0,2,5,7,4,3,2022-02-22
c_156,3,"[5, 1, 5]","[2, 3, 7]","[3, 3, 4]","[1, 3, 3]",0,0,0,0,1,5,2,2,2022-05-03
c_156,4,"[5, 1, 5, 1]","[2, 3, 7, 5]","[3, 3, 4, 2]","[1, 3, 3, 2]",0,0,0,1,6,2,3,3,2022-06-28
c_157,1,[4],[7],[7],[1],0,1,0,0,4,1,6,3,2021-07-02
c_157,2,"[4, 4]","[7, 1]","[7, 6]","[1, 3]",0,1,0,2,6,2,7,1,2021-09-28
c_157,3,"[4, 4, 6]","[7, 1, 2]","[7, 6, 7]","[1, 3, 1]",0,1,0,3,6,2,7,2,2021-11-26
c_157,4,"[4, 4, 6, 6]","[7, 1, 2, 2]","[7, 6, 7, 7]","[1, 3, 1, 2]",0,1,0,1,2,3,7,3,2022-02-18
c_157,5,"[4, 4, 6, 6, 2]","[7, 1, 2, 2, 3]","[7, 6, 7, 7, 7]","[1, 3, 1, 2, 3]",0,1,0,0,6,2,7,2,2022-02-23
c_157,6,"[4, 4, 6, 6, 2, 6]","[7, 1, 2, 2, 3, 2]","[7, 6, 7, 7, 7, 7]","[1, 3, 1, 2, 3, 2]",0,1,0,2,5,2,7,3,2022-04-04
c_157,7,"[4, 4, 6, 6, 2, 6, 5]","[7, 1, 2, 2, 3, 2, 2]","[7, 6, 7, 7, 7, 7, 7]","[1, 3, 1, 2, 3, 2, 3]",0,1,0,1,1,5,7,2,2022-04-07
